"date","rank","code","name","sector","close","turnover","turnover_ma"
"2000-04-21","1","2914","日本たばこ産業","食品","349.066284179688","1164834190307.62","1078735028637.7"
"2000-04-21","2","9432","NTT","通信","69.9963607788086","194239901161.194","376639691505.432"
"2000-04-21","3","6857","アドバンテスト","電気機器","2233.79833984375","107904969085.156","55321038613.9453"
"2000-04-21","4","6758","ソニーグループ","電気機器","2032.34460449219","50901086791.8091","47584332878.6133"
"2000-04-21","5","6971","京セラ","電気機器","1538.61462402344","85699603666.4064","32150665958.8086"
"2000-04-21","6","8035","東京エレクトロン","電気機器","3886.48779296875","73920997822.2656","27065973474.0234"
"2000-04-21","7","6762","TDK","電気機器","719.909484863281","63690392125.8545","24459435662.4756"
"2000-04-21","8","9433","KDDI","通信","641.417602539063","59696479701.2696","23813014208.811"
"2000-04-21","9","6954","ファナック","電気機器","1760.6884765625","53497639016.1133","20037979444.8486"
"2000-04-21","10","6702","富士通","電気機器","2193.44067382813","16071339817.1387","17962507308.2032"
"2000-04-24","1","2914","日本たばこ産業","食品","370.313873291016","536769959335.328","847524712918.091"
"2000-04-24","2","9432","NTT","通信","71.0257263183594","245038755798.34","285224913139.343"
"2000-04-24","3","9984","ソフトバンクグループ","通信","699.765014648438","261805604084.473","154731831044.854"
"2000-04-24","4","6857","アドバンテスト","電気機器","2276.7919921875","82809656906.25","63591802231.6016"
"2000-04-24","5","6758","ソニーグループ","電気機器","2098.43774414063","28553442384.5216","39577619106.2378"
"2000-04-24","6","6971","京セラ","電気機器","1490.28112792969","23925569340.2344","33091360546.9727"
"2000-04-24","7","8035","東京エレクトロン","電気機器","3730.1953125","25671204140.625","28684115667.7734"
"2000-04-24","8","6762","TDK","電気機器","705.199462890625","22287829024.6582","26222355700.1953"
"2000-04-24","9","9433","KDDI","通信","591.377624511719","19361466875.4639","24680428276.2744"
"2000-04-24","10","6954","ファナック","電気機器","1538.97155761719","19046311997.0703","21383903767.981"
"2000-04-25","1","2914","日本たばこ産業","食品","358.172393798828","383423547561.645","710830273989.869"
"2000-04-25","2","9432","NTT","通信","69.9963607788086","211738991355.896","249176787338.257"
"2000-04-25","3","9984","ソフトバンクグループ","通信","773.039001464844","127425275276.66","179683716968.086"
"2000-04-25","4","6857","アドバンテスト","電気機器","2196.4130859375","61453881014.0625","68558297783.6328"
"2000-04-25","5","6758","ソニーグループ","電気機器","2098.43774414063","29303633878.0518","37243000858.4107"
"2000-04-25","6","6971","京セラ","電気機器","1484.64233398438","13868934827.1485","33071117603.4961"
"2000-04-25","7","8035","東京エレクトロン","電気機器","3615.58056640625","17973050995.6055","30399724622.7539"
"2000-04-25","8","6762","TDK","電気機器","644.129760742188","13777935582.2754","26484559393.6157"
"2000-04-25","9","9433","KDDI","通信","573.181457519531","13107055025.3906","25084179514.0723"
"2000-04-25","10","6954","ファナック","電気機器","1554.6220703125","8529433988.76953","20979062949.7681"
"2000-04-26","1","2914","日本たばこ産業","食品","356.871520996094","311370402069.092","631000955746.46"
"2000-04-26","2","9432","NTT","通信","70.5110626220703","192142645645.142","230681793899.536"
"2000-04-26","3","9984","ソフトバンクグループ","通信","846.312622070313","895737279.199219","143673246829.863"
"2000-04-26","4","6857","アドバンテスト","電気機器","2205.759765625","51339499696.875","70518065265"
"2000-04-26","5","6758","ソニーグループ","電気機器","2106.69873046875","24194381570.0684","35651789709.0455"
"2000-04-26","6","6971","京セラ","電気機器","1485.4482421875","15134935050","31884988402.5586"
"2000-04-26","7","8035","東京エレクトロン","電気機器","3619.74731445313","12792187009.2774","29510661360.9375"
"2000-04-26","8","9433","KDDI","通信","582.279418945313","13394057018.1152","25034632403.3789"
"2000-04-26","9","6762","TDK","電気機器","643.238037109375","9513490568.84766","24652597270.5688"
"2000-04-26","10","6954","ファナック","電気機器","1565.05541992188","9082016601.80667","20643210534.3262"
"2000-04-27","1","2914","日本たばこ産業","食品","346.898193359375","389393222045.898","557158264263.916"
"2000-04-27","2","9432","NTT","通信","69.4817047119141","203233986282.349","209278856048.584"
"2000-04-27","3","9984","ソフトバンクグループ","通信","919.586730957031","277348093726.025","140690796435.615"
"2000-04-27","4","6857","アドバンテスト","電気機器","2336.60986328125","50369831500.7813","70775567640.625"
"2000-04-27","5","6758","ソニーグループ","電気機器","2062.0859375","24625430265.625","31515594978.0152"
