"date","rank","code","name","sector","close","turnover","turnover_ma"
"2022-01-11","1","6920","レーザーテック","電気機器","29357.908203125","121453666236.328","141999268314.688"
"2022-01-11","2","6758","ソニーグループ","電気機器","2797.32275390625","67609892300.5371","100538738651.807"
"2022-01-11","3","9984","ソフトバンクグループ","情報・通信業","1305.12365722656","76867607014.9413","81488470203.9843"
"2022-01-11","4","7203","トヨタ自動車","輸送用機器","2039.32360839844","60589935864.4044","78182829217.1217"
"2022-01-11","5","8035","東京エレクトロン","電気機器","18721.974609375","64635745141.4063","59623883865.1172"
"2022-01-11","6","9107","川崎汽船","海運業","585.661315917969","34591148566.5894","52861855486.7396"
"2022-01-11","7","8306","三菱ＵＦＪフィナンシャル・グループ","銀行業","598.370544433594","64993931469.397","49473987518.7524"
"2022-01-11","8","6861","キーエンス","電気機器","60607.36328125","94886887953.125","49159689516.25"
"2022-01-11","9","9101","日本郵船","海運業","2002.44555664063","35654143869.6534","41703932308.3375"
"2022-01-11","10","9983","ファーストリテイリング","小売業","18841.876953125","34768915541.6016","39103887829.4531"
"2022-01-12","1","6920","レーザーテック","電気機器","29959.77734375","124917291634.766","130332072397.109"
"2022-01-12","2","6758","ソニーグループ","電気機器","2819.65502929688","53677772792.7247","98946984748.3156"
"2022-01-12","3","9984","ソフトバンクグループ","情報・通信業","1383.77209472656","134140099318.603","93257368403.3984"
"2022-01-12","4","7203","トヨタ自動車","輸送用機器","2072.25854492188","70282513583.716","75333544646.1402"
"2022-01-12","5","8035","東京エレクトロン","電気機器","19423.12109375","53013466713.2813","56511044597.4609"
"2022-01-12","6","6861","キーエンス","電気機器","63623.1875","67154274406.25","55530874843.75"
"2022-01-12","7","8306","三菱ＵＦＪフィナンシャル・グループ","銀行業","600.588623046875","42923588418.2617","50499214299.5898"
"2022-01-12","8","9107","川崎汽船","海運業","616.689697265625","40953314422.9248","49038427764.4154"
"2022-01-12","9","9101","日本郵船","海運業","2090.8203125","51742784765.625","41842260239.8609"
"2022-01-12","10","9983","ファーストリテイリング","小売業","19172.546875","29943683709.375","39312296253.2813"
"2022-01-13","1","6920","レーザーテック","電気機器","29434.337890625","120115646064.063","127376008530.742"
"2022-01-13","2","9984","ソフトバンクグループ","情報・通信業","1355.283203125","86647049968.75","98359186775.9569"
"2022-01-13","3","6758","ソニーグループ","電気機器","2809.9453125","34043892433.5938","81558196893.628"
"2022-01-13","4","7203","トヨタ自動車","輸送用機器","2118.3671875","83714481862.5","70522982818.2008"
"2022-01-13","5","6861","キーエンス","電気機器","62265.578125","37010659637.5","58648497880.7813"
"2022-01-13","6","8035","東京エレクトロン","電気機器","19491.740234375","42727843767.7734","54394409109.2578"
"2022-01-13","7","8306","三菱ＵＦＪフィナンシャル・グループ","銀行業","609.290405273438","44774680296.167","50901753133.9624"
"2022-01-13","8","9983","ファーストリテイリング","小売業","18803.71875","40232436637.5","40077189816.4453"
"2022-01-13","9","9101","日本郵船","海運業","2088.6650390625","37719410806.9336","38643188889.7486"
"2022-01-13","10","9107","川崎汽船","海運業","612.035461425781","33599645168.4448","38338096623.1238"
"2022-01-14","1","6920","レーザーテック","電気機器","28660.5","154144767150","132828676970.742"
"2022-01-14","2","9984","ソフトバンクグループ","情報・通信業","1338.48217773438","84764470137.305","98448236157.5195"
"2022-01-14","3","7203","トヨタ自動車","輸送用機器","2099.04541015625","81011817986.8164","71645486916.4332"
"2022-01-14","4","6758","ソニーグループ","電気機器","2755.57202148438","58839729374.756","62586605538.0372"
"2022-01-14","5","6861","キーエンス","電気機器","60277.65625","67504947234.375","62560865467.1875"
"2022-01-14","6","8035","東京エレクトロン","電気機器","19458.91796875","72346311116.0156","56542775482.1484"
"2022-01-14","7","8306","三菱ＵＦＪフィナンシャル・グループ","銀行業","603.830444335938","48701219891.3819","54054121197.0825"
"2022-01-14","8","9983","ファーストリテイリング","小売業","20320.353515625","93684957848.4375","48702881311.2891"
"2022-01-14","9","9101","日本郵船","海運業","2105.9091796875","36030631928.0273","38885825396.3379"
"2022-01-14","10","6098","リクルートホールディングス","サービス業","5941.912109375","63636096117.7734","38539836252.3438"
"2022-01-17","1","6920","レーザーテック","電気機器","28206.7109375","126780703650.781","129482414947.188"
