"date","rank","code","name","sector","close","turnover","turnover_ma"
"2000-04-26","3","9984","ソフトバンクグループ","情報・通信業","846.312927246094","895737602.197266","143673244032.129"
"2000-04-26","4","6857","アドバンテスト","電気機器","2205.76025390625","51339511061.7188","70518075843.7891"
"2000-04-26","5","6758","ソニーグループ","電気機器","2106.69848632813","24194378766.2354","35651786626.587"
"2000-04-26","6","6971","京セラ","電気機器","1485.44787597656","15134931318.75","31884984044.2188"
"2000-04-26","7","8035","東京エレクトロン","電気機器","3623.83447265625","12806631026.3672","29543964416.8945"
"2000-04-26","8","9433","ＫＤＤＩ","情報・通信業","582.279479980469","13394058422.0947","25034624977.6904"
"2000-04-26","9","6762","ＴＤＫ","電気機器","643.237976074219","9513489666.1377","24652596487.0606"
"2000-04-26","10","6954","ファナック","電気機器","1565.05651855469","9082022977.17287","20643209356.9092"
"2000-04-27","1","2914","日本たばこ産業","食料品","346.898193359375","389393222045.898","557158314611.816"
"2000-04-27","2","9432","ＮＴＴ","情報・通信業","69.4816818237305","203233919334.412","209278877525.329"
"2000-04-27","3","9984","ソフトバンクグループ","情報・通信業","919.586608886719","277348056909.522","140690798126.104"
"2000-04-27","4","6857","アドバンテスト","電気機器","2336.609375","50369820975","70775580212.2657"
"2000-04-27","5","6758","ソニーグループ","電気機器","2062.0869140625","24625441927.7344","31515592099.4141"
"2000-04-27","6","6971","京セラ","電気機器","1471.75341796875","6367393987.5","28999285595.9375"
"2000-04-27","7","8035","東京エレクトロン","電気機器","3598.79833984375","8086499869.62891","27718209952.7344"
"2000-04-27","8","9433","ＫＤＤＩ","情報・通信業","545.887145996094","10656590509.2773","23243121995.3467"
"2000-04-27","9","6762","ＴＤＫ","電気機器","646.804138183594","5801833119.50684","23014296383.9722"
"2000-04-27","10","6954","ファナック","電気機器","1492.01989746094","8481387107.11671","19727356352.1606"
"2000-04-28","1","2914","日本たばこ産業","食料品","344.72998046875","401093332275.391","404410081903.076"
"2000-04-28","2","9432","ＮＴＴ","情報・通信業","68.9670104980469","248281237792.969","220087132148.742"
"2000-04-28","3","9984","ソフトバンクグループ","情報・通信業","974.541809082031","155777779464.697","164650500344.355"
"2000-04-28","4","6857","アドバンテスト","電気機器","2309.50415039063","28556556918.7501","54905890702.9688"
"2000-04-28","5","6758","ソニーグループ","電気機器","2050.52001953125","27210400659.1797","26777455484.3506"
"2000-04-28","6","8035","東京エレクトロン","電気機器","3673.9033203125","8233217340.82031","14563972350.5859"
"2000-04-28","7","9433","ＫＤＤＩ","情報・通信業","564.083374023438","10270604440.8691","13357954895.9912"
"2000-04-28","8","6971","京セラ","電気機器","1455.642578125","7293351573.4375","13318036537.1875"
"2000-04-28","9","6762","ＴＤＫ","電気機器","645.021301269531","6463113438.7207","11568838486.6333"
"2000-04-28","10","6702","富士通","電気機器","2237.30859375","10385586492.1875","10957034139.2578"
"2000-05-01","1","2914","日本たばこ産業","食料品","336.924896240234","190025641479.492","335061209484.863"
"2000-05-01","2","9432","ＮＴＴ","情報・通信業","70.5110778808594","174514917755.127","205982364540.1"
"2000-05-01","3","9984","ソフトバンクグループ","情報・通信業","1047.44921875","118418742956.25","135973114417.529"
"2000-05-01","4","6857","アドバンテスト","電気機器","2355.30322265625","22648595789.0625","42873673151.7188"
"2000-05-01","5","6758","ソニーグループ","電気機器","2078.60961914063","29105731192.0167","26887915239.0625"
"2000-05-01","6","6702","富士通","電気機器","2442.03100585938","25213970135.4981","14409320635.1074"
"2000-05-01","7","8035","東京エレクトロン","電気機器","4061.94799804688","8347303135.98634","11093396887.3535"
"2000-05-01","8","7203","トヨタ自動車","輸送用機器","626.619750976563","7450508839.11133","10732158004.1504"
